216,1409536329,3461426,,16,,1831
1207,1409553163,3032815,,334,,978
293,1409661476,3313270,,16,,1123
147,1409689845,3458230,,334,,2008
2106,1409833631,3104121,,103,,1554
2624,1409869678,985422,,334,,1483
320,1409884836,243665,,26,,1344
369,1409905867,2562689,3161431,1249,8,1957
888,1409917778,2562689,373565,1249,8,2079
15313,1409921663,2238209,,23,,705
1710,1409933513,3428848,,103,,1482
868,1409948863,3462220,2619306,68,,1382
413,1409951499,985422,,334,,1539
3548,1409981272,3472756,,1590,,1598
792,1410004884,3462220,3461789,68,633,1280
7456,1410009680,1088661,,1590,,2146
505,1410021327,3276804,,16,,490
117,1410027394,363688,,23,,646
71,1410038052,3461426,,16,,1775
9150,1410043486,3334908,,16,,1521
1403,1410047823,2221775,3462242,,103,3626
3028,1410051540,1467922,,6,,1798
613,1410062453,3458230,239564,334,,1847
6436,1410068025,3472756,,1590,,697
2509,1410073359,3032815,3416186,334,228,1646
2819,1410078703,52989,,103,,1173
12524,1410082846,2227496,3470241,26,945,1561
141,1410084359,435109,,2373,,918
1721,1410090001,363688,,23,,2134
3435,1410090845,3032815,1489696,334,57,1906
15436,1410094779,3293097,,2115,,1044
9232,1410095979,3051749,,942,,1220
12962,1410126901,2227496,3470602,26,1041,2213
85,1410139081,1671113,2577849,23,,1801
10029,1410145045,3466902,,1590,,868
3950,1410155027,3463685,,314,,1313
252,1410155637,3242585,,16,,1239
5640,1410160277,1598658,366706,524,,1758
4198,1410161605,1373902,3463812,1590,,1837
251,1410164103,1671113,2956154,23,,1661
23153,1410172039,688699,3478806,23,,1468
5090,1410172158,873594,,26,,503
395,1410186019,3313270,773242,16,,1838
4857,1410195075,2230579,,23,,1019
4528,1410199305,261749,110620,23,,1471
6221,1410202082,3339718,,524,,1346
12955,1410202968,2238209,,23,,1291
12200,1410204174,3461355,,334,,1922
12994,1410205036,1341920,1850442,6,90,1915
2136,1410205795,3461595,,16,,1220
12837,1410207514,805309,,53,,1042
14944,1410208453,1729200,,23,,991
4196,1410209868,1373902,1914136,1590,,1764
3737,1410220317,134879,,1590,,645
4406,1410237465,2257194,3456547,23,,1415
6455,1410237716,1088661,3255003,1590,1278,1241
